category,text_cleaned_string
positive,hehehe halloween costume friday flying hk
negative,midland couldnt get bags connect intl flight sydney get em la amp check em
negative,usually raving service lax nbr helper cant figure hang coat serve drink f
negative,guys atrocious far better service silver delta platinum ill switching back delta
neutral,know left something last flight literally run make connection retrieve please
positive,something
positive,im gonna watch tm c wot hav say bout twitter yor show brilliant ever mornin katie x
positive,oh dear cant england im stuck australia
positive,dad`s drunk today successful
positive,thanks ill go quotwake wellquot good night
positive,super cant wait happy
negative,ignoring purpose sad enough automated system hang
neutral,ready jonas brothers experience real brothers included
neutral,airlines always told us cant open cabin door closed plane done times tonight
positive,enjoying night folks
negative,sometimes wish man could pee stand scratch chest instead lies breast hah
neutral,could get away dare i`ll go buy tomorrow
neutral,bonds political funding
neutral,anticipating next ten days
negative,gb used phone gb
negative,omg that`s right hahaha i`m stupid
neutral,working till playing miley cyrus company radio adele
neutral,cold mind sat outside mins waiting lift don`t care much balearic evening might
negative,trying charge bucks lowered award tickets want get hard earn points back total bs
negative,god look stumpy i`m sharing toes tonight
neutral,hit word mark geography notes i`m even gcse mean i`ve done page history
neutral,name brands dairy even it`s called `semisweet` `dark` i`ll try get helloveggies store
positive,thanks
positive,want buy one
neutral,india may make illegal social messaging platforms share personal data
positive,know hadnt one long time goodness surprised
positive,dunno wat made share past colleague glad
negative,acsvxdcbgfn soccer shall see young phoebe don`t want dressed though
positive,i`m sending happy mama`s day shout greatest twitmama ever u kick day everyday lovely sons
neutral,tempe marketplace waiting see star trek
neutral,really wants buy new clothes
negative,cried
neutral,please help would die see vegas show would amazing hear songs real
positive,love bc record home pull serious fuckshit thing designed get lost
positive,good job
neutral,doctor anyone wanna somethin bit
neutral,thanks got straightend last night
neutral,i`ve nudged much going lately umped games wknd took one pills
positive,pulling gate sunrises morning jetbluesofly jetblue airbus
positive,you`re welcome actually swedish fans trying get mcfly us close
negative,party wiped dead stuff
negative,left hoos got iphones dire suck ur mum
negative,miserable feel like im gona cry sux
positive,time bed night twitters
negative,lil sad bc wont able toeat hot dog big kahuna cookie sandwich ranger game tonight
neutral,unless mean hours week use sleeping yeah suppose could use
negative,funeral ceremonygloomy friday
negative,mad rain got menow cant go see jaiden \\\
positive,thank much appreciated plane min gate
neutral,cnbctv iphone growth peaked aapl
negative,scared lmao someone pls tell
positive,seen game website awesomness go msn
neutral,going shower don`t want smell school tomorrow
negative,thanks finally letting get book flight frustration set donedeal talktoahuman
negative,best apps seems whats wrong
positive,finally going bed woohoo gotta work lots love
negative,wanted sadly work today normally don`t work fridays either
positive,first got thinking weenkee oracle weenkee cool real winkey cage
negative,happy hour ccp eithah that`s bad
neutral,studio ft one outlet computers need batteries future
negative,inconvenience understatement like torture clearly going wrong path jetblue
positive,need break need kitkat haha
neutral,studio ft one outlet computers need batteries future
negative,guys suck
positive,greg back top love nascar
negative,whats happening phl lax hr delay poor communication
neutral,iis working really wants geordanos thin crust cheese black olives peperoni mushroom pizza
positive,thats excellent lotsa people loving hehe winks
neutral,reportedly hiring fashionfocused staff physical stores ftdaily fashiontech
neutral,thinks gonna rain
neutral,dont wanna get bed wanna go back sleep open store work though
neutral,_idol looking new sms sending solution get free sms every itagg
positive,make bed without running wall tripping feet heh
neutral,follow dm please
positive,eclipse awesome better new moon
negative,time spent night trying sleep toddler bed airport ramada without luggage kidnapped furious
neutral,learning nonpayment client new business headache hoping avoid
neutral,i`m updating brett`s phone beeps really looking wedding stuff againfor next five months
positive,works
negative,that`s horrible purposely write bunny mean cruel mention plain tacky
neutral,yes
neutral,watching miley cyrus youtube
neutral,_deadgirl hard stare
neutral,playing pacman itouch lol
positive,happy maders day
negative,says weather delay yxe morning weather didnt affect airline ua
negative,requested mileage challenge status several weeks ago online havent heard back get help
neutral,studio ft one outlet computers need batteries future
positive,sitting plane philadelphia minutes waiting get plane great service
neutral,hi joined twitter
positive,would brighter stars combined red carpet tonight
positive,absolutely doubt heres continued success
positive,didnt play year
positive,scrubs finale beautiful perfect can`t believe they`re gonna another season
negative,hello anyone behind twitter account badcustomerservice
negative,werent flight came late flight jetblue employee informed us
neutral,ed issues notice violation provisions tune rs crore ipl
positive,exceptional daydont ya luv everything goes smoothly heaps done luv follow extra god promptings
neutral,came back school packing dad`s house
neutral,field day gt classnot winning
neutral,youve got room earlier flight home charge get hero
neutral,furthermore provisions secrecy constitution activities sedition us gov
positive,almost done thirdchapter cover page yay
negative,airlines claims low fare guarantee wont honor lower fare found
positive,muahahahhahaha well maybe think i`m crazy something haven`t scared yet though
positive,thanks emailed long expect response
negative,listening litle hyperbirdies terrorizing world since lets cook em
positive,honourary fluffette lovely hair what`s left
negative,_cupcakes busy wowsa okay pizzas gonna sorry
negative,ohh ouch
negative,pullin sh delaying flights smh
positive,thanks
negative,right richard marx`s right waiting really making feel nauseatingly sad
neutral,wwwwhispergiftscom bridal registry dm free premium account
neutral,_ward
neutral,tried shoes new look
neutral,fun go another park invite lol
neutral,get bored routine lol
positive,thanks buddy high fives hehe
positive,yes please
negative,leadership counts landed last nightdeplaned minutes waiting jetway inexcusable
negative,hahahaha watching miss oceans
neutral,dont think
positive,best show life mcfly rocks world wanna meet guys
positive,went john grisham instead pleased never suspected thing lol hope tomorrow better day
positive,good show
positive,cute pretty
positive,cool cant wait dustbin baby
neutral,didnt save links dont need distractions need motivation
neutral,mucking guitar rig demo
positive,trimmed ill post photos soon
positive,thank cici right back ya
neutral,wordsaftersex haven`t started
negative,keep returning call hanging answer help reflight booking problems flight
neutral,follow
positive,thanks recent follow happy connect happy great thursday want
neutral,perhaps less malleable metal shell iphonesplus noticedsomecurve
positive,it`s awesome book can`t wait film enjoy don`t scared x
negative,rocks next question astro unhappy
negative,trouble breathing painand fever ^^^
positive,goodnight twitterland belle going walks adventures tomorrow
neutral,could
positive,best evar first didnt awnser questions xoxo
neutral,side seat loner please starbucks
negative,made wisconsin golden corral dang lol missed graduation tho dang
neutral,happy friday pulled yummy radishes garden hope strawberries turn still blooms
negative,puppies deserves better unhappy
negative,icloud yet please help
positive,messaged thanks
negative,revision continues getting bored tired can`t wait get interesting things week half left though
negative,let mri today neurosurgeon didn`t order itwhich means come back okc soon nothing new
negative,got stand list earlier flight dca status checked bag supposed thanks
neutral,_laiter already discussed today yeaaaaaah
positive,especially people low patience level happy
positive,_design allright looking forward
neutral,lax ewr middle seat red eye noob maneuver sendambien andchexmix
negative,took sitting someone scheduled buenos ares jfknot sre make r thy holding plane
positive,saved day lost costumer jetblue makingthingseasy feelbetter
positive,thanks explanation seems like odd incentive structure tho dramatically diminishes value certs
positive,sister currently telling year olds bar reading books maybe ill take book bar
positive,thanks heads alexa stats updating pfblogs
negative,super scary unhappy
neutral,probably wasnt commandbet dont understand pay fantasy football either droids look
neutral,long hold wine without tipping
negative,called cheeseburglar made sad
positive,watched gossipgirl dan`s funny haha
neutral,tonight last night apartment
positive,_conrad take good photos
positive,may gray coldplay nice showerswork
positive,big ups newark airport staff ampamp ddean also treated lovely town
negative,stop cutting pasting apologies get additional phone reps jobs
negative,camera shooting
negative,battery low boooooooo palm springs ca
neutral,follow back ill give details
negative,third jetblue flight less week late flight weather reliability going downhill
negative,true don`t know bothered morning cos put pony soon got work anyways
neutral,nah could use hug three even option miles away
neutral,dm nuts
negative,five times last count
negative,angrily told extemely abusivementally emotionally physically made day nightss
negative,go airline much say care see much right suck
negative,pilot told us would release bags well offer hotel vouchers neither happened
negative,guys horrible first get stuck snow hr ewr sitting cmh saying could min gate
negative,duh baggage claim hours counting flights amp
positive,relaxing space drink flight global first lounge
neutral,ipad mini first time startup via ipadmini ipad macbook macbookpro startup hipster unbox
positive,way work cant bothered
neutral,hahahaha nahh sowwieee git shirt match dez sneakerz nd idk da color aghhh lol
positive,ah helping friend move defo well deserved pint that`s sure
negative,gossip fluffodile latest mad night teg jack lou tess frey gender war v sad friend also
negative,luckily disinfectant wipes job youre welcome badservice
neutral,stop making assumptions dont even know haha stupid thanks defending matthew
neutral,imagine dragons tickets left tomorrow utah would love go available
neutral,back work
positive,thank proving point
negative,late flight weve boarded waiting min wtf
neutral,ashok v desai formula tackling banks
positive,indeed cant wait board
positive,got best friends
neutral,need one follower
neutral,watching neighbours
negative,fuck
neutral,got sunburn coney island bike ride
neutral,didn`t yet never texted backk
positive,bars monday awesome
neutral,feeling fab today missing boo
positive,woke upneed walk dogan go store buy breakfast hope vinyls ordered today
positive,thanks recommendation
negative,broken light mins get bridge gate airplane parked wrong bathroom emptied last nightyour airline last hrs
negative,best pleased service far third gate still guarantee correct one
negative,bad
positive,arch drawing checking mvcc`s cad degree looks good
neutral,venues audiences
negative,hour delay phomia airline bad getting worse foolish american merge treat customers like crap
negative,organization itil forget people fail preaching converted people
positive,nice clean
positive,jealous hope great time vegas like acms love show
positive,says red buhok qku hihi
positive,awww holly shes cute hope let sing
negative,want stay overnight airport since morning
negative,far call back
negative,hate
neutral,protesters stage diein protests store nyc anger misplaced retweet agree
neutral,gonna go aiden girl went scarlet
neutral,academy rector tons tutors looks like way go since good trix draw engines mana accel gone
neutral,suzi
negative,yup happens way often times last months
neutral,oh mann das ist super lustig du armer macs age months battery charging garantiefall
positive,get secretary
negative,worst experience ever flying
negative,cancelled flight flight saying cause weather condition flight cancelled flight
negative,still trying get home
negative,living alki without offstreet parking blows p parking wkds worst feel like hostage
negative,cannot sleep hours tossing turning
negative,baby unhappy
neutral,hahaha uncle coz aunty left kids
neutral,leopold says hello
positive,coolest testament jonanthan sitting deciding going change world big stuff required
negative,feel bad john kate
positive,going origin amp iii oh yeah thankyou mr rudd flights accom tickets cant wait
neutral,ok shower calling name hour think i`ll indulge respond allow robin thicke serenade
positive,going stop using quotcomcasticquot mean bad things comcast reps twitter local office fantastic
neutral,haha ask beautiful ur voices curse u super cool beautiful women likely unavailable lol
positive,got set thanks
negative,depressed wasn`t included morcom gardens quiz facebook
positive,aww sucks glad put better mood
positive,used apple pay first time thanks
positive,gonna dream prince charming tonight n see everything goes back normal really hope
neutral,
positive,good morning ate pizza breakfast
negative,poor nicole absolutely destroyed cell phone
negative,beastypops tired wish tablets making want throw
negative,that`s weird \ oh drawing
neutral,switch something else
negative,headache
neutral,waiting food
positive,woo hoo party gonna fun
negative,seriously mum make eat yeah weird eating habit eating day really
negative,got text flight cancelled flightled help please
negative,sent email hours ago asking questions still response need answers hopefully flight booking problems flight
positive,cant access bank account going fuuuuuuuun
positive,thanks merrier
positive,kozhi nick good friend mine college hes workin bombay chennai week
positive,awww omgsh shes gorgeoussssss theyre mine
negative,apartment emptying day sad last week
positive,live danny noriega`s stickam said hey luv
neutral,calling debby ryan
neutral,say kge last day job today wont saying around anymore
positive,cant wait dee
negative,ive calling straight days one picks sure storms also customers holler
neutral,wants go back charleston
negative,doubt p amp r still held captive ground dca little communication front would b nice
positive,solomon supposed wise wives im thinking
negative,_is_rad yeah im tired headache play game rygby ill right
negative,thanks call cancelled flightled flight flight booking problems tues good weather caused leave early
neutral,david nice know feels comfortable twitting tweeting us feeling misses home
positive,amazing hospitality helpfulness anthony lastella great staff def flying united
positive,watching e sunset tan
neutral,gonna go crazy leave
neutral,whats hot new
negative,couldnt changed tire delayed ua flight arrived instead waiting boarding
neutral,haha fail remember sohcahtoa xd
neutral,omg disco packed
positive,big day day xt launch amazing much free stuff thanx edge telecom found phone wantcnt afford yet tho
neutral,gahhhh homework masterchef half hour hahah recruits
positive,another note totally love pic dadold pic
neutral,weather sfo flight still time boston
positive,get well indeed tfcomp
positive,read blog amazing wine food
negative,passed hour mark onholdwith call gave morning
negative,ayoko na said tagalog cuz idk anymore
negative,hey come every saturday movie night fails appletv chuck guys wifegoingtosleep
positive,looks nice never knew vhs short life span hope fav vhs dead
positive,_melbourne sounds good say hi run i`m always always coffee
negative,omg much pain ouchies
neutral,thing i`m chocolate fan thought yhere
positive,birthday well happy birthday
neutral,rahul modi trade barbs
negative,trying book flight hold cant get representative phone advice
neutral,one million people dmv today
positive,got home neils watched nick amp noras playlist pretty funny
negative,failed last week iah next intl trip delta small ual flight lax booked thats
negative,umm unexpected unexpected meaning guys didnt know major staff shortage
positive,watching last nights house getting ready work
positive,good luck
positive,haha makes online fart
neutral,fleets fleek smh
neutral,booked tickets jessicaaaa
neutral,britain`s got talent cute little girl feel sorry hope simon finds time
negative,swoobs swass hell air today packing blech
positive,happy mother`s day wonderful mothers world included
positive,nbn someone already said fiber home mean least regular
positive,it`s wall like saying banned zac efron lol sonny
negative,iphone battery life takes piss sort iphone iphone apple
positive,carls jr sounds hella good bring
neutral,that`s great guy related
neutral,knew done gate correct time gate open
neutral,ya seen robert
negative,horrible cust service exp dia today wife waited hrs plane bf flight cancelled flightled still waiting bags
negative,annnnddddd im going lose first class seat flight shuffle
neutral,last friday high school years
negative,late nights
positive,better hurry wouldn`t labeled copycats
positive,happy star wars day may th
negative,true silly iphone get life together
positive,widescreen laptop rotation comics awesome
negative,name jane wanted call
negative,ugh i`m doin good
positive,ty sweetheart
negative,fuccin bacc hurts dragged long blocc piece wood corner garage
positive,thought simple one found hilarious
negative,customer service rude bothered calls idea going sighed heavily phone unbelievable
negative,received hotel food also email miles last trip hr delay miles less cancelled flightlation
neutral,vote rob
neutral,ahh naa dont like rain nm really friend comin goin grans
neutral,flt two updates last minutes
positive,time get educated hope great start monday morning
neutral,going thru bills
neutral,wowzers thanks bang bang misses dance floor
neutral,statement lufthansa incentive offer digital journal
negative,flight still waiting bags us checked hours ago people missing connections please help
positive,yer hope competition doesnt end post video lol really good singers entered
neutral,good morning gonna clean house bit maybe clean nothing rest day
neutral,dont know u define controllableirregularity
neutral,that`s last night
neutral,miss mcfly last night much front row centre danny making laugh much lol
positive,join aquarena go classes together
neutral,new super power camping place hr mac springleaf tower still eating fries
positive,lol point laugh
neutral,ohh know church got mcfly
neutral,it`s ok i`ll reached tweets dreamland good sleep talk later
negative,wow serious hard time sleeping decongestant keeping wide awake wanna sleep
positive,haha molly youre really funny enjoy reading tweets
neutral,sitting home wishing didnt work today ask still work
negative,voucher past trip delayed thought talk someone phone use true
negative,last night dream moved japan happened see denied friendlies request unhappy
negative,spend weekendto spend weekendthat hte question mind
negative,make spirit look like gem air travel havent handle winter storm well
neutral,sulumits retsambew thinking billion billion pretty soon adds real money
negative,dad`s feeling well want make soup suggestions guys get well soon ayah
negative,worst hold time crazy agents horrible accountability usairsucks
negative,know really want ranks rise lot tmrs episode seeing many tweet unhappy
negative,got overexcited pizza burned mouth
positive,looks yummyi haz smal pies pleess
positive,dum di dum cant sleeep stanky leg fml
neutral,_brown theres holy version hell loli cant stop need trending topic nice whispering redmangolol
negative,computer slow
negative,bantay unhappy
neutral,hi direct flights houston reno begin dont see days march
neutral,apple important stock earth aapl
neutral,blastinggg music
positive,good knight jonathan
negative,think prize end sorry hear though
neutral,name chad won`t tomorrow
negative,filled whole form receiving poor poor response direct email address reply
positive,second episode sonny wac new zealand tonight still amazing ily
positive,made worries guys good tonight even put flight firstclass
positive,hope hoes much funnot much without though lol
negative,hug yep hate meself
neutral,i`m sure toasties wasn`t far behind
positive,great read yes would love meet get link sent
negative,afraid you`ve bit fail last two recommendations aren`t available uk
negative,know really upsets stranger internet isnt satisfied entertainment provide
neutral,use points book rental car
negative,asked stewardess take disinfectant wipe trash said hands badservice
neutral,twitterberry wont work friends
neutral,already reply sorry believe fair journalist writing article trip include
positive,great reason i`ll trying find excuse go la show zdc
positive,love music video belong taylor
negative,tried different flight iahmnl flights advertised bookable due partner error
negative,jumped train visit rescue mom totally forgot sweatshirt forgot bring make first time ever forgetting
neutral,cool big user dm though
negative,carriers less half price round trip fare stunned
negative,web prologue modern liberalism misconstrued nd bible christ without crucifiction abstraction wo `skin`
neutral,youtube apple tv app updated streamlined interface video advertisements aapl
positive,rockstar photographer shoot went great tonight little different usual stuff nice
negative,flight nashville cancelled flightled another flight ive trying call amp cannot get human
positive,love family feud episode kardashians tonight
neutral,right like cape breton coal mines lessons learned
negative,delayed blue skies whyisusairalwaysdelayed
neutral,aw kaelah feel bad sounds serious please get better soon admire still working hard stuff
neutral,watching keeping kardashian youtube
positive,lol cant w till yoiur film friday good
negative,cant even track bag see like disappeared
positive,im flying competitor today starts u ends never make mistake americanforlife
neutral,aha ok might see yano
positive,yeah well well still talk wont idea plus havent even talked ta bout yet
negative,instead wait plane ottawa never came im back home try tomorrow suitcase still lost
positive,good morning peoples
negative,anyone actually work dividend miles department
neutral,feels good hardest part keep empty every day least several times week
positive,still tryna figure twitter thought hold guys
neutral,importance fastening waistband revealed wins trust vote
negative,love give feedback link fill personal info form guys best
neutral,need new socks
positive,thankful great service newark seats fixed seated daughter fab landing fort myers
negative,dont hire people deal call volume absolute garbage incompetent
positive,it`s little things make love
positive,ah say nicest things
positive,blog set ready next planplanning next plan
positive,got hear new patent apple thats quite innovative idea mobile screen never break future
neutral,protesters stage diein protests store nyc anger misplaced retweet agree
positive,thanx much followed emailed ticket voucher unitedairlines care
positive,im david bowie mood feel like watching labyrinth sexiest goblin king ive ever seen classic
negative,nothing important told wait line patiencerunningout
negative,want money back sitting runway hour delay waiting baggage begin loading
positive,im years old doesnt feel different still going tons shows amp causing trouble girls guess never gets old
positive,wonder turned new follower email notifications
negative,get go coffee it`s fun hate
neutral,get leg room tonight b
neutral,ceo pilots among ardent fans wall street poughkeepsie journal
positive,nothing wrong samantha
positive,last day work passover vacation cant wait gonna focus blog improve much possible
negative,race saturday night jimmie didn`t great he`s still rd place
negative,gotta love autocorrect iphone nothing makes person illiterate fuck mequit guessing let us correct
negative,quit cheap hire call center employees shouldnt take half day call
negative,trouble updating
neutral,want sooooooo bad
negative,couldwanted call wouldnt use internet make reservationsite wont work chrome several computers
positive,heya girl
neutral,indian govt draws goat parallel case
neutral,modis bug
positive,_day awwwww fun fam boo boo
positive,thanks recent follow happy connect happy great thursday
positive,thanks hoping allergies nasty flu
neutral,whoa rad coffee makes stay night
negative,another terrible experience united discrimination delays help customer service united notimpressed
positive,awwww called sexy nice rock danni made night gurl muah ill give props anytime
positive,great shot yesterday editing pics
negative,man still haven`t seen movietoo bad i`m work
negative,driving homeim tiredhad bad day
neutral,[apple] developing iphone fires laser beams map surroundings monday december
positive,oh quotshooterquot good movie seen tho gotta put back quotto watchquot list
positive,sooooo tired every sense word need tune pick
negative,ugh two week push produce six pack produced nothing pain
neutral,macbook pro unboxing via macbook macbookpro startup hipster unboxing
negative,tired work pm fb
negative,sfoyyj fight cancelled flightled several times week even bother
negative,good dayone bad thing another
neutral,real fleets fleek
positive,nice see twitter
neutral,traveling year old thursday need id correct
positive,last time get right hello loves
positive,loads sales week website bluelillyscouk work hard replace items
negative,awww bad won`t i`d entertain thought entering
positive,rt quote name calligraphy happy ill try best make pretty non mutualsmutuals ifb fl
negative,haha scared
negative,iced coffee christ tasted nasty
neutral,that`s dope stay trouble
negative,whats issue flight jax delayed tonight
positive,glad liked he`s done loads arrangements one could find blip
neutral,eat cupcake
neutral,ooh milan could holiday bfoyf geneva today visiting fam ive got weekend
neutral,i`m ad another week visa work
positive,pot gone cookies soon go oven
negative,website
negative,guys luggage san jose supposed deliver hotel hours ago please contact
negative,managed breathe since getting news
positive,ooooo i`m lovin first lady`s fuschia sheath dress tres chic want arms
neutral,download jeokoo american app air travelers
neutral,naughty woman sooo meet
neutral,lmao know pleaseeee reply got replies yet l x
positive,dam finished watching prison break final breakomg dont think i`ve cried hard showfinally understand finale
positive,well timed tweet boarded listening way home
neutral,would supertarget didn`t
negative,afraid daughter`s gonna write memoir i`m ungodly mix miles betty davis eve
neutral,anytime ya gonna late
neutral,feeling deflated hubby saw swing set thinks piece junk thought found something good kids
positive,oh im huge big love fan trying wrap season show creepily accurate take utah girl
positive,well fun evening
positive,lol okay
positive,love show would totally go time bandit deadliestcatch tpglove ocean crab legs suspense
positive,reli bord chliin wiv cuzins lol msn
negative,pleaseeee resume direct flights fll phl dont want fly anyone else
neutral,_sunshine figured ended taking cousin work rain anyway hit
positive,lil cuz coming round today aww haha
neutral,storysize it`s posted short story one liner doesn`t show news friends see wall
positive,going eat pasta bake favourite food later going flea market you`re lilime
neutral,dnt think ever get tired ofthe climbits sngs u`ll always remember
negative,getting dinner ready much going life seems
positive,thank much stepping game making day night elevator music much appreciated
neutral,homesan diego san jose weather fallow
positive,flight wifi wifi calling makes best combination doesnt love texting feet air
neutral,wish would tweet followed
negative,rebooked split take different flights pilot ran hours frustrating
positive,thats awesome youre gonna love bookand possibly surprised dont worry wont spoil
positive,flypside goodi must creat presentation english guys
positive,make sure dm post link video ltlolgtso dont miss better get permission blessing first
neutral,tackle less wheat
negative,omg bgt making cry wee girl it`s soo sad
negative,always forget much fun kyle
positive,sorry credit switched jose xavier
negative,sucks delayed moms flight x cancelled flightled delayed flight todayall mech issuesshe sleep airport
negative,_itx credits unfortunately
positive,interesting really random day im glad friends found hilarious keeps goinig
negative,tell testers using gmail ios app wont work doesnt tell testers
neutral,bad words crutch lead tattoos peircings hahahaha
neutral,loving sunshine hating thought office without windows
neutral,got gym wno energy
negative,sbarro dinner krispy kreme dessert mmmmm healthy
neutral,touched changi hrs kill heading penang must fly singapore air often
neutral,tamil nadu
negative,seattle washingtonim sooooo hungryi miss alaska
negative,guilt trips feeling sick pressure stress much drama
positive,shout pilots fc attendanteliz us super strong crosswinds landing eliz super job throughout
neutral,ok dominican republic numbers
neutral,thanks hun i`m wearing new goldmine es big false lashes doesn`t show
negative,sry day tweets mia twitter network glitch story funeral mixup wrong remains delivered ea
negative,haha okay talking middle college grad think got worried
neutral,missed next trip
negative,roommate sssnoring throat dry
neutral,time buy dip apple inc stock motley fool aapl
neutral,call stevie reschedule competition yesterday launch sims luna park day pm
neutral,hmm first pizza ages feel bit sick that`ll teach
negative,would way wether delayed yet love charlotte ice storm good luck mad customers
neutral,whoknew isnt twitter interestingfact passingthetime
neutral,ha nothing man right mothers day except taking kids mum`s hands whole day
negative,ac tix actually show sold i`d get tix stubhub pay
negative,dream u didn`t like
negative,like hearing havent replied tweet andor email yet
negative,go batangas sad
positive,airline understands us military families unpredictable changes pound
neutral,ceo battles appease passengers wall street waterbury republican american
neutral,studio ft one outlet computers need batteries future
positive,know right lead foot
neutral,theyre sappin mah sentry errr yea i`m without power home right
positive,hereim way bed lol weird hope good morning
positive,bahahaha love gabriel absolutely hilarious
negative,crying omg fed pain
neutral,legal eagles back call probing suicide note
negative,flight delayed till tomorrow curse weather
negative,mom annoyed living outta we`re aol radio looking brooks dunn
negative,minutes hold far still havent spoke human never using
negative,oopsno functioning bathrooms fairly full flight hope everyone new york hold included
neutral,still feel like craaaap like everyone earth needs know lol fun birdies
positive,days left school bryce tyler that`s days elementary
negative,want go home tonight cancelled flight last leg reserv wout permission phrps
negative,secondly begin boarding time despite aircraft present deplaned thus left min late flight
negative,it`s tongue cheek mentalitiesthere another one takes piss arabs long
neutral,im good ta bit tired cos i`ve wking wkend good how`s
negative,us standby houston tomorrow flights calgary could get us one two would help
neutral,well i`m little bit sick i`m fine
negative,i`m feeling weak tired seating front pc really need study ha long quiz
positive,hehe you`re expert eh
positive,teehee good show anyway
negative,peep remix wu dynasty remix tape delayed give u idea
positive,headed today shopped mother`s day gifts love bbws new scents finished book bought yesterday
neutral,bench appear
positive,blinks fast better lol thanks
neutral,dm locator code thanks
positive,plugged iphone dismissed syncing screen iphone synced without sync screen crashs gotta love hightech
neutral,go hour journey home
negative,spirit week tuesday make eight die later school wednesday thursday finally sleep friday
negative,look times sunk totally shocked tbh
negative,flight today phl dal cancelled flightled min hold rebooked tomorrow flight cancelled flightled hold
positive,haaawwell get class hope make
negative,hey battery iphone drops like cock see gay porn xvideos main page fix shit
negative,delayed hours missed connections due mechanical issues st flight rebooked please call
negative,guys need serious training customer service many better options put way guys handle ur mistakes
positive,good luck whit show tonite man ill watching
neutral,mcfly anit ages z
neutral,somebody get work tomorrow
positive,aww cute made smile im sick home [
negative,think lost blog posts
neutral,best purchases today yard sales large dog crates refrigerator office didn`t buy anything old
neutral,spent minutes looking aud
positive,last week flew dal lax got us almost hour early thank
neutral,clock work
positive,eat steak well done please unfollow happy
positive,theres panic bludging haha good work making move become official twitterer
neutral,poor baby girl chloe freaking noise cute pitiful hiding middle table
negative,dont want waste time airline youve already robbed hours day definitely
neutral,can`t comment directly someone i`m alone
neutral,congratulations
positive,got see bestftiend nite
neutral,minutes never class kinda sad cause class fun
neutral,facebook
negative,happened often hated every time moved username thought i`d love moved soon
neutral,lol wen mum used take kid wud always eat bread instead haha
positive,sushi w well cooked veggie preggo onto trolley car birthday party mckinney ave actially feel awake
neutral,body pull either
neutral,tweeting running
positive,love grandma
neutral,bored decided iron baju sklh thn realized hate tht iron sleeve hahaha im schl
positive,ive seen flickr ive fallen love wonderful awesome
positive,boy noise boy music free th may worse worth pay
neutral,ten bucks says know going it`s think islet know boulder still beach
negative,sorry i`ve typing wrongly usually i`ve typed something wont read i`ll press `enter` button
neutral,hate can`t make music magically worry money awe sighlol
neutral,pacman pic
negative,hold hours system hung twice hour holding trying correct online flight booking problems error unhappy
positive,mile run meter swim things looking better better laying bike today
positive,excellent good see
negative,relay oh well
neutral,hairspray hair lighterbong new haircut
positive,thankyou dig house made tweets ago makes sense
positive,certainly wont exclude might time easter ill put list
positive,thank clayton going favorite greek resturant church mom`s day loved huckabee
neutral,top officer speaks innocent victims suffer
positive,sounds cool
neutral,wondering twitter fixed phone time soon
neutral,_aries person something common lol jk
negative,went get dog vets theyve stitched ear charged us still bleeds like waterfall everytime moves
negative,tara thai times friend`s birthdays food pretty bad
neutral,_y_tony pad thai times last night ragoons lol yumb
positive,take breather
negative,thirty minutes turned three hours oops
positive,ooh checkered vans slipons pink green black lol
negative,music library wont sync new music etc itunes tells sync completed nothing new uploadedhow fix frustrating
negative,caught earlier flight ord gate checked bag youve lost ohare original flight lands minutes frustrating
negative,hey fuck thinking want text messages pop computer ipad phone thisiswhypeoplegetmurdered
negative,sad
positive,_g price drop would nice want another one backupbluray player
neutral,please help left ipad air flight nyc paris yesterday cant get touch anyone locally
neutral,_a_hart ah birmingham remember wrox days
positive,yes u eat ceremonial thats actually trained
positive,wish hanging kobe right
negative,think that`s what`s wrong stuffed breathe feels like sore throat
positive,resolved hour work ground amp somehow system reset takeoff appreciate quick responseservice
neutral,kp nayar engagement gulf deepened
neutral,guys like fish sticks
neutral,stu lantz awesome miss chick hearn tho
neutral,_kinda_guy kids growing around science guys grew around politics
negative,bout get ready work ugh hate workin fridays
negative,abandoned boston bound flierssomeone management needs saveface showup
negative,didnt work flyfi plus couldnt access abc app spent still missed oscars disappointed
positive,happy birthday
negative,can`t listen music work probably could try i`ll start hunting new job monday
positive,today lovely day fun evening
positive,awesome tell good might watch
neutral,i`ll try silly silly tweetdeck mean
negative,horrible communication delayed flight lga got emails seconds w different delay times horrible
positive,cant sleep guess ill read im almost done rant chuck palahniuk
positive,must send note good words
neutral,pls hold ua cnx pax frm ua runners min hold save fam frm miscnx pls twitter watching
positive,looks wickedd xxxxxxxxxx
negative,im feeling sad likeing new haircut
negative,don`t think coffee work agreed tummy
negative,delayed due tail winds need jump sea leaving time arrives chance hold
neutral,oh nos happened
positive,glad wore black rats flowy shirt im full dozen mixed oystsers seafood platter death chocolate
neutral,power cos world could care
positive,feels like shit simple back sleep x
negative,inch iphone five reasons apple wont make forbes aapl
positive,going great productive week feel positive thinking key
positive,ahh sunshine deleted spam emails days bbq sun wonderful
neutral,arrggh kids won`t settleneed kava liam that`ll sort `em
negative,ive hold hour trying change flight come
neutral,call customer care try enter wrong pw see result invalid user name password
positive,i`ve beforesometimes turn things felt forgiving remould cut reform
neutral,took aol instant messanger money
negative,last call customer service agent called back stuck hold air canada hope hes booked flight
neutral,least he`s breakthrough performance tho wanted nominated category
positive,hope scentsational doesnt get dissed
